start_date,end_date,"station id",lat,lon,elev
1978/10/01,2100/01/01,869,40.35,-106.09,9540
1979/10/01,2100/01/01,560,43.86,-109.32,9550
1979/10/01,2100/01/01,572,38.48,-109.27,9560
2002/12/13,2100/01/01,1042,40.2,-105.6,9560
2003/10/01,2100/01/01,1046,41.24,-106.23,9574
1979/10/01,2100/01/01,390,37.66,-112.74,9580
1978/10/01,2100/01/01,751,44.5,-107.43,9580
1979/10/01,2100/01/01,822,43.75,-110.06,9580
1979/10/01,2100/01/01,556,39.32,-106.61,9600
1979/10/01,2100/01/01,589,37.89,-108.2,9600
1979/10/01,2100/01/01,680,38.82,-106.59,9600
1978/10/01,2100/01/01,691,39.01,-111.58,9600
1983/10/01,2100/01/01,405,43.28,-109.45,9630
1988/10/01,2100/01/01,766,40.56,-111.66,9640
1978/10/01,2100/01/01,865,37.84,-111.88,9640
1995/10/01,2100/01/01,914,37.85,-105.44,9649
1978/10/01,2100/01/01,305,39.92,-105.76,9680
1979/10/01,2100/01/01,475,38.77,-111.68,9682
1978/10/01,2100/01/01,564,39.94,-105.59,9700
1979/10/01,2100/01/01,718,40.88,-106.05,9700
1985/10/01,2100/01/01,827,40,-107.24,9700
1997/08/14,2100/01/01,923,42.59,-108.9,9700
2011/11/22,2100/01/01,1192,40.84,-110.66,9700
1997/09/13,2100/01/01,927,35.34,-111.65,9730
2007/09/20,2100/01/01,1099,38.07,-112.17,9749
1979/10/01,2100/01/01,350,44.38,-109.79,9780
1985/10/01,2100/01/01,452,38.21,-111.48,9800
1979/10/01,2100/01/01,491,36.19,-105.56,9800
1979/10/01,2100/01/01,538,37.93,-107.68,9800
1979/10/01,2100/01/01,626,37.57,-112.84,9800
1998/09/03,2100/01/01,944,43.38,-109.88,9820
2009/08/07,2100/01/01,1119,41.06,-106.71,9820
1978/10/01,2100/01/01,364,38.51,-112.02,9828
1988/10/01,2100/01/01,675,39.09,-107.63,9840
1978/10/01,2100/01/01,715,36.7,-105.34,9850
1979/10/01,2100/01/01,402,44.4,-107.06,9860
1980/10/01,2100/01/01,663,40.04,-105.54,9910
